SAKNR	BUKRS	GLACCOUNT_TYPE	KTOKS	TXT20_ML	TXT50_ML	WAERS	XSALH	MWSKZ	XMWNO	XOPVW	FSTAG	TXT20_TX_02	TXT50_TX_02
6101000000	UH39	P	Y400	Sale commision Dom 	Sales commision for domestic sales			*	X		Y004	Sale commision Dom 	Sales commision for domestic sales
6102000000	UH39	P	Y400	WH StrgCst Dom sale	Warehouse storage cost for domestic sales			*	X		Y004	WH StrgCst Dom sale	Warehouse storage cost for domestic sales
6210000000	UH39	P	Y400	Dprc_Buildings	Depreciation of buildings						Y004	Dprc_Buildings	Depreciation of buildings
6211000000	UH39	P	Y400	Amrt_License	Amortization of license						Y004	Amrt_License	Amortization of license
6212000000	UH39	P	Y400	Amrt_LT prepaid Exp	Amortization of long-term prepaid expneses						Y004	Amrt_LT prepaid Exp	Amortization of long-term prepaid expneses
6240000000	UH39	P	Y400	Alwc doubtful Accts	Allowance for doubtful accounts			*	X		Y004	Alwc doubtful Accts	Allowance for doubtful accounts
6310000000	UH39	P	Y400	Gain_sale_fixed Asts	Gain on sales of fixed assets						Y004	Gain_sale_fixed Asts	Gain on sales of fixed assets
6320000000	UH39	P	Y400	Rev_Impr loss_FixAst	Reversal of impairment loss on fixed assets						Y004	Rev_Impr loss_FixAst	Reversal of impairment loss on fixed assets
6330000000	UH39	P	Y400	Gain_sale_Inv Sec 	Gain on sale of Investment Sec (subs. & affilis)						Y004	Gain_sale_Inv Sec 	Gain on sale of Investment Sec (subs. & affilis)
6400000000	UH39	P	Y400	Retir loss_fixed Ast	Retirement loss of fixed assets						Y004	Retir loss_fixed Ast	Retirement loss of fixed assets
6410000000	UH39	P	Y400	Impr loss_fixed Asts	Impairment loss on fixed assets						Y004	Impr loss_fixed Asts	Impairment loss on fixed assets
6411000000	UH39	P	Y400	Impr loss_goodwill	Impairment loss on goodwill						Y004	Impr loss_goodwill	Impairment loss on goodwill
6420000000	UH39	P	Y400	Ls_disp_subs (WD_IS)	Ls on disp of subs. & aff (write-down on Inv Sec)						Y004	Ls_disp_subs (WD_IS)	Ls on disp of subs. & aff (write-down on Inv Sec)
6800000000	UH39	P	Y400	Charge-in_Special I	Charge-in to special item						Y004	Charge-in_Special I	Charge-in to special item
6900000000	UH39	P	Y400	COGS charge out-Rev	COGS charge out-revenue						Y004	COGS charge out-Rev	COGS charge out-revenue
7100000000	UH39	P	Y400	Int INC_Deposit Svng	Interest income on deposits - savings						Y004	Int INC_Deposit Svng	Interest income on deposits - savings
7101000000	UH39	P	Y400	Int INC_Lease	Interest income on lease						Y004	Int INC_Lease	Interest income on lease
7102000000	UH39	P	Y400	Div INC_Subsdry	Dividend income from subsidiaries						Y004	Div INC_Subsdry	Dividend income from subsidiaries
7103000000	UH39	P	Y400	Div INC exc. S&A	Dividend income (excl.subs.&affilis)						Y004	Div INC exc. S&A	Dividend income (excl.subs.&affilis)
7110000000	UH39	P	Y400	Foreign Exc gain	Foreign exchange gain						Y004	Foreign Exc gain	Foreign exchange gain
7200000000	UH39	P	Y400	Int Exp_IC loan	Interest expenses on intercompany loan						Y004	Int Exp_IC loan	Interest expenses on intercompany loan
7201000000	UH39	P	Y400	Int Exp_Lease	Interest expenses on lease						Y004	Int Exp_Lease	Interest expenses on lease
7210000000	UH39	P	Y400	Foreign Exc loss	Foreign exchange loss						Y004	Foreign Exc loss	Foreign exchange loss
8000000000	UH39	P	Y400	Current INC tax	Current income taxes						Y001	Current INC tax	Current income taxes
8001000000	UH39	P	Y400	Corporate BUS tax	Corporate business tax						Y001	Corporate BUS tax	Corporate business tax
