SAKNR	BUKRS	XSPEB
6512000000	UH39	X
6520000000	UH39	X
6521000000	UH39	X
6522000000	UH39	X
6524000000	UH39	X
6801000000	UH39	X
6802000000	UH39	X
6810000000	UH39	X
6811000000	UH39	X
6812000000	UH39	X
6820000000	UH39	X
6830000000	UH39	X
6840000000	UH39	X
6850000000	UH39	X
6851000000	UH39	X
6852000000	UH39	X
6853000000	UH39	X
6855000000	UH39	X
6856000000	UH39	X
6857000000	UH39	X
6860000000	UH39	X
6861000000	UH39	X
6862000000	UH39	X
6863000000	UH39	X
6864000000	UH39	X
6865000000	UH39	X
6866000000	UH39	X
6870000000	UH39	X
7104000000	UH39	X
7110100000	UH39	X
7120000000	UH39	X
7121000000	UH39	X
7122000000	UH39	X
7123000000	UH39	X
7123100000	UH39	X
7123200000	UH39	X
7210100000	UH39	X
7220000000	UH39	X
7221000000	UH39	X
7222000000	UH39	X
7223000000	UH39	X
7224000000	UH39	X
8002000000	UH39	X
